Time,ID,x_coord,y_coord,Speed,Acceleration
49,1030,297.22,0,15.92,0.01
49,960,293.79,1,16.93,0.26
49,1019,274.37,2,17.43,0.09
49,1072,264.15,0,16.09,0.02
49,1066,239.95,1,16.35,0.39
49,1094,236.66,2,15.96,0.18
49,1115,210.67,0,15.92,0.28
49,1177,197.52,2,15.61,-0.03
49,1166,182.6,1,15.61,0.33
49,1199,180.78,0,14.79,0.08
49,1277,152,0,15,0.03
49,1241,151.77,1,14.76,0.2
49,1220,151.43,2,15.19,0.32
49,1326,126.4,0,15.45,-0.25
49,1294,109.45,2,14.02,0.14
49,1310,100.68,1,13.96,0.26
49,1357,75.94,0,13.49,0.26
49,1378,75.46,2,13.7,-0.14
49,1431,51.95,0,14.38,-0.61
49,1410,50.99,1,13.29,0.2
49,1473,23.24,1,14.23,-0.29
49,1467,23.19,2,13.19,0.26
49,1494,15.49,0,18.73,-1.56
50,629,671.79,0,22.82,0.09
50,517,667.1,1,18.25,0.3
50,566,643.65,2,20.74,0.38
50,1183,615.28,2,18.74,0.4
50,672,613.42,0,22.34,0.22
50,560,598.83,1,19.78,-0.01
50,618,579.94,2,18.72,0.12
50,734,557.89,0,21.1,0.22
50,1288,543.36,2.08,17.72,0.27
50,666,537.99,1,20.1,0.25
50,713,519.95,1.68,17.95,0.04
50,777,510.62,0,20.1,0.14
50,819,462.73,0,19.4,0.2
50,766,450.12,1,19.01,0.09
50,813,444.27,2,20.3,0.24
50,882,419.9,0,18.53,0.13
50,903,392.55,2,18.37,0.08
50,924,380.32,0,17.68,0.33
50,860,380.06,1,17.96,0.29
50,988,345.26,0,16.76,0.12
50,966,343.02,2,18.07,0.3
50,1030,313.17,0,16.02,0.16
50,960,310.85,1,17.17,0.2
50,1019,291.95,2,17.74,0.28
50,1072,280.27,0,16.13,0.05
50,1066,256.46,1,16.66,0.26
50,1094,252.75,2,16.19,0.07
50,1115,226.69,0,16.09,0.09
50,1177,213.22,2,15.78,0.15
50,1166,198.33,1,15.85,0.31
50,1199,195.61,0,14.91,0.3
50,1277,166.95,0,14.92,-0.14
50,1220,166.74,2,15.46,0.31
50,1241,166.59,1,14.9,0.11
50,1326,141.71,0,15.19,-0.17
50,1294,123.6,2,14.31,0.32
50,1310,114.77,1,14.22,0.3
50,1357,89.57,0,13.74,0.18
50,1378,89.11,2,13.62,-0.11
50,1431,66.13,0,13.97,-0.48
50,1410,64.4,1,13.54,0.36
50,1473,37.34,1,13.95,-0.29
50,1467,36.5,2,13.44,0.14
50,1494,33.55,0,17.4,-1.23
50,1526,6.86,1,11.53,0.25
50,1537,3.45,2,17.13,-1.44
51,629,694.73,0,23.09,0.27
51,517,685.45,1,18.48,0.3
51,566,664.52,2,21.02,0.31
51,672,635.88,0,22.54,0.08
51,1183,634.16,2,19.02,0.28
